Replicate,YearProgeny,StageParents,NumberParents
23,26,CET,99
23,27,PYT,3
23,27,CET,97
23,28,CET,100
23,29,PYT,1
23,29,CET,99
23,30,CET,100
23,31,PYT,2
23,31,CET,98
24,25,CET,55
24,26,CET,100
24,27,CET,100
24,28,CET,100
24,29,CET,100
24,30,CET,100
24,31,CET,100
25,25,PYT,2
25,25,CET,74
25,26,CET,100
25,27,PYT,1
25,27,CET,99
25,28,CET,100
25,29,CET,100
25,30,PYT,1
25,30,CET,99
25,31,PYT,3
25,31,CET,97
26,25,CET,54
26,26,CET,100
26,27,CET,100
26,28,CET,100
26,29,CET,100
26,30,CET,100
26,31,CET,100
27,25,CET,73
27,26,PYT,3
27,26,CET,97
27,27,PYT,3
27,27,CET,97
27,28,PYT,2
27,28,CET,98
27,29,PYT,1
27,29,CET,99
27,30,CET,100
27,31,CET,100
28,25,CET,74
28,26,PYT,4
28,26,CET,96
28,27,PYT,1
28,27,CET,99
28,28,PYT,6
28,28,CET,94
28,29,CET,100
28,30,PYT,5
28,30,CET,95
28,31,CET,100
29,25,CET,64
29,26,PYT,2
29,26,CET,98
29,27,CET,100
29,28,PYT,1
29,28,CET,99
29,29,PYT,1
29,29,CET,99
29,30,PYT,1
29,30,CET,99
29,31,PYT,1
29,31,CET,99
30,25,PYT,1
30,25,CET,70
30,26,PYT,2
30,26,CET,98
30,27,CET,100
30,28,PYT,2
30,28,CET,98
30,29,PYT,1
30,29,CET,99
30,30,PYT,2
30,30,CET,98
30,31,PYT,2
30,31,CET,98
31,25,CET,70
31,26,PYT,1
31,26,CET,99
31,27,PYT,3
31,27,CET,97
31,28,CET,100
31,29,PYT,3
31,29,CET,97
31,30,CET,100
31,31,PYT,5
31,31,CET,94
32,25,CET,70
32,26,PYT,1
32,26,CET,99
32,27,PYT,1
32,27,CET,99
32,28,PYT,1
32,28,CET,99
32,29,CET,100
32,30,PYT,4
32,30,CET,96
32,31,CET,100
33,25,CET,51
33,26,PYT,1
33,26,CET,99
33,27,PYT,3
33,27,CET,97
33,28,CET,100
33,29,PYT,3
33,29,CET,97
33,30,PYT,2
33,30,CET,98
33,31,PYT,2
33,31,CET,98
34,25,CET,52
34,26,CET,96
34,27,CET,100
34,28,CET,100
34,29,CET,100
34,30,CET,100
34,31,CET,100
35,25,CET,36
35,26,CET,99
35,27,CET,100
35,28,CET,100
35,29,CET,100
35,30,CET,100
35,31,CET,100
36,25,PYT,1
36,25,CET,66
36,26,PYT,1
36,26,CET,99
36,27,PYT,1
36,27,CET,99
36,28,PYT,2
36,28,CET,98
36,29,PYT,3
36,29,CET,97
36,30,CET,100
36,31,PYT,5
36,31,CET,95
37,25,CET,57
37,26,CET,100
37,27,CET,100
37,28,CET,100
37,29,CET,100
37,30,CET,100
37,31,CET,100
38,25,CET,63
38,26,PYT,1
38,26,CET,99
38,27,CET,100
38,28,PYT,2
38,28,CET,98
38,29,PYT,1
38,29,CET,99
38,30,PYT,4
38,30,CET,96
38,31,PYT,1
38,31,CET,99
39,25,PYT,3
39,25,CET,72
39,26,PYT,1
39,26,CET,99
39,27,PYT,3
39,27,CET,97
39,28,PYT,3
39,28,CET,97
39,29,CET,100
39,30,CET,100
39,31,PYT,2
39,31,CET,98
40,25,CET,72
40,26,PYT,1
40,26,CET,99
40,27,CET,100
40,28,CET,100
40,29,PYT,1
40,29,CET,99
40,30,PYT,1
40,30,CET,99
40,31,CET,100
