id,gebv,pop,year,stage,bv,gv
786294,56.4408193620239,c,59,5,55.4827090479916,670.419627486365
786399,42.7188928741687,c,59,5,30.4907568378235,650.776141691686
786721,64.8121819885053,c,59,5,47.0085820950606,672.476593384234
788116,72.1348227709992,c,59,5,72.4747386966298,684.140455823357
788150,38.2643284483303,c,59,5,63.1361325691137,674.22146216144
788489,49.5780703798856,c,59,5,30.4315099185606,669.288185969313
788991,56.4817414482265,c,59,5,52.1083210538437,668.430381038361
789094,61.3749402278528,c,59,5,3.93228608827783,632.256245981351
789718,56.0725081661676,c,59,5,17.5359341460638,618.946149292933
790394,61.2913495939389,c,59,5,17.3202564179507,641.691455501943
790756,61.3281263465886,c,59,5,37.3013229461247,678.574401540524
792139,40.4885953168843,c,60,4,25.7297828153486,644.46768880694
792210,45.6333028904448,c,60,4,55.3630262524067,695.888196332887
792532,38.2692488757754,c,60,4,56.6726917132229,679.064159352796
792544,45.5132021075831,c,60,4,6.29768075215467,639.014234058423
792606,38.3916973255892,c,60,4,54.706681771219,666.052520286488
793048,35.9948084635633,c,60,4,19.1245838656938,635.515565929008
793139,51.81298337887,c,60,4,22.8618924871651,616.363159585179
793201,41.3694608866603,c,60,4,32.2739577399376,615.063398211759
793299,43.3243862873324,c,60,4,9.84572729952395,626.368301970191
793317,39.3638976417821,c,60,4,4.71513914732105,616.445144192071
793655,38.9634882747071,c,60,4,25.8890897863999,667.422343919918
794245,45.1624438862568,c,60,4,-7.7801126689859,619.600913903218
794725,47.7841551467367,c,60,4,44.5783365106277,677.4252375957
794906,38.0105403779628,c,60,4,46.7760937708067,665.650611840311
794955,52.0133392284243,c,60,4,41.7330557047427,659.975061351314
794976,38.8928272276165,c,60,4,48.7553146609153,692.094085306343
795129,54.4964231036682,c,60,4,47.2007220864406,656.51400983824
795208,56.7023029581069,c,60,4,60.9265832114332,661.077172054959
795215,45.2363367657449,c,60,4,64.7025270147643,686.595226804987
795256,37.03723843852,c,60,4,84.9913786769544,700.380375033086
795258,55.8311663297152,c,60,4,83.8422190697889,694.988259580313
795280,47.3488798920815,c,60,4,72.946191100039,681.470608322522
795411,60.6574912986636,c,60,4,94.7164254635359,686.217710197807
795422,37.5159187401077,c,60,4,70.4467936884984,665.747175255085
795447,41.7086733183232,c,60,4,35.9192100005814,642.499017898646
796268,35.5544223133168,c,60,4,24.2211979083373,655.644391227138
796290,57.0652202592239,c,60,4,55.8215050038293,680.389480312139
796338,32.9977440725778,c,60,4,8.34420990305119,646.385675916761
796345,57.5024158947931,c,60,4,41.2467913373003,678.293162508065
797125,42.8807063784306,c,60,4,59.7613799763145,664.171170113484
797234,36.5562291156336,c,60,4,21.5939524131876,640.785992028684
797407,48.616408198822,c,60,4,35.3651527559601,643.270495052654
797419,44.2990154067805,c,60,4,33.8517807064943,649.95878600367
797463,41.7712658003436,c,60,4,70.9670576362303,688.313676926439
798014,46.0392157535043,c,60,4,27.8506370695739,653.274490942931
798034,54.2633949957272,c,60,4,46.9305908682221,648.696649735345
798136,56.150662806412,c,60,4,75.6226280508811,691.905015577647
798143,46.833243699169,c,60,4,92.5892726442893,696.553400941724
798146,56.5616624085308,c,60,4,62.3237128065624,682.284133884179
798407,56.0268600607446,c,60,4,31.8284511505155,659.314747015296
798604,32.2001464314815,c,60,4,-3.18771220948085,625.932482964306
798650,53.4193114045014,c,60,4,62.1510720804244,700.422793059263
798705,41.3456628540196,c,60,4,46.9835457758086,660.121412741889
798708,47.0498835282517,c,60,4,22.5105836540463,631.203370076258
798790,34.0396677590616,c,60,4,60.5255738700264,673.929854183943
798802,42.4964022805043,c,60,4,62.1374038600672,673.583133598052
798853,52.4694254579814,c,60,4,50.6070472370309,645.560551584511
799088,43.5542931433287,c,60,4,70.4181726143439,691.807378305147
799091,36.9164822230141,c,60,4,70.3837460318392,691.905962137007
799172,42.1340290336999,c,60,4,53.4397715618924,667.132592585912
799369,34.1904363690299,c,60,4,39.9390574221788,641.052144591715
