id,gebv,pop,year,stage,bv,gv
792118,34.9371774905534,c,60,4,8.96937585865407,640.624471883116
792155,46.8280023909624,c,60,4,18.4786620427539,625.026073861105
792433,49.4116281481779,c,60,4,17.3171755163344,627.346059951745
792448,48.9891026605023,c,60,4,30.9909999129329,664.431542193679
792452,35.3102606266278,c,60,4,38.0409541860743,663.037124242795
792783,43.3423995511775,c,60,4,54.8768249374035,676.743796352729
792799,36.8913924235022,c,60,4,8.5177483370075,618.283463273943
792959,38.784397334979,c,60,4,47.9972573069077,664.850737532931
793012,30.3788985065479,c,60,4,8.2849307150119,618.793180016933
793019,36.9214249504214,c,60,4,45.4819180856526,655.966415070369
793388,34.9855415287325,c,60,4,34.3664505958152,640.796133621718
793486,34.9134436188883,c,60,4,44.204519431552,663.170808539482
793580,33.6774999089213,c,60,4,10.9542808758713,622.332109481375
793590,36.677118344615,c,60,4,41.025425452353,653.252795935086
793594,36.9556960238461,c,60,4,21.9418724089691,628.823795827985
794005,38.7918944151635,c,60,4,43.3800173109742,684.809959009481
794247,40.3393704967071,c,60,4,48.8849855488463,657.373586446283
794487,35.6125404520863,c,60,4,16.2724182547901,606.483418028778
794953,34.5052671436973,c,60,4,33.9581048676043,643.880080494185
794998,32.0156941253187,c,60,4,39.8822125829465,655.895388055083
795096,51.0629494553284,c,60,4,44.0317737470812,644.547712482808
795119,35.5677376496233,c,60,4,60.0162921273607,672.023301575879
795133,50.9324428990602,c,60,4,53.5032856646382,681.276656361363
795152,34.5697648610849,c,60,4,65.507962128182,660.573604522593
795153,31.1274864210385,c,60,4,24.2986905542644,644.329548793319
795236,54.2883098502866,c,60,4,13.0059281914874,652.660989408241
795762,29.3072009212785,c,60,4,68.2359072871311,665.065037592179
795849,40.5016585172065,c,60,4,30.2183797069049,639.1549600071
795884,30.311195980487,c,60,4,21.2033653598647,638.880814072219
796185,48.6668281662142,c,60,4,35.6931885422192,643.412428395818
796655,34.67256510602,c,60,4,45.7731979707195,671.396520526609
796700,45.8872265256342,c,60,4,8.7579710679637,628.841412729456
796722,35.569197877939,c,60,4,30.0367398312627,641.900797685122
796730,38.9350438373597,c,60,4,57.9735060053767,680.536993142148
796911,37.4797312320126,c,60,4,12.5303713361261,634.560966858734
796969,33.6913477666077,c,60,4,-18.2270964072451,599.726304351375
797075,37.9026674749077,c,60,4,41.1502270341265,663.354618039734
797157,30.3390136183744,c,60,4,24.2984540322559,641.121077776726
797228,34.8515489228288,c,60,4,43.7337724626655,663.92237654085
797251,38.4427210952463,c,60,4,25.1338689063408,646.412416240994
797490,29.9868912647707,c,60,4,33.5520708905276,644.712509297609
797696,46.9590949852692,c,60,4,61.4903208648167,684.557682515554
797742,35.8829401443194,c,60,4,9.20533039759331,612.248789763533
797805,30.31869071315,c,60,4,20.0412693714934,643.758229154327
798238,32.393614036153,c,60,4,37.2574970647146,658.254907115998
798434,44.4800140447086,c,60,4,-0.965176829786491,621.932798447487
798972,29.7996374504101,c,60,4,-1.31366487174185,625.236021542712
798974,52.1491319054416,c,60,4,29.3663276341069,628.636012660111
799077,40.3972480975224,c,60,4,57.2798600925043,671.192920482971
799159,37.8266109253064,c,60,4,43.0721241598111,644.473384395964
799207,33.040185737586,c,60,4,29.6805995634977,644.79668502904
799337,37.0400448808449,c,60,4,22.1680487685104,625.405893278676
800025,44.1852485731602,c,60,4,93.7525766381399,701.337911190517
800255,37.920787984909,c,60,4,-15.6905835437826,616.7721694027
800364,55.8310414769852,c,60,4,53.5664857814684,665.470795760396
800478,42.114431932751,c,60,4,-3.08587242079158,609.692830270661
800551,34.4167031483653,c,60,4,60.1743921631338,696.987538617915
800630,43.7374643719154,c,60,4,76.1425649216784,687.471030731533
800637,39.5925399356828,c,60,4,47.9363262300125,653.907384180711
800659,32.2302258622302,c,60,4,24.7217345254362,624.585548737018
800667,48.1666535620849,c,60,4,39.9897083155519,655.855126680318
800701,32.1576244794859,c,60,4,41.9019869368534,660.262094096793
800821,35.3563026326344,c,60,4,26.7819465228929,630.424988583809
800963,36.1583457303926,c,60,4,3.24984445323074,616.615495001111
802129,39.8488229589975,c,60,4,44.5180088021462,654.758645672389
802354,45.4407354124678,c,60,4,26.3243907662846,647.683927820013
802476,39.0701896843033,c,60,4,47.0370852149078,671.050093682608
802526,45.8558923698496,c,60,4,36.7863310510828,657.096649645883
802527,44.0179382944798,c,60,4,14.5686815079309,653.33093419696
802550,42.9407997965353,c,60,4,27.129798509943,628.637115286138
802765,33.7346102550945,c,60,4,65.1073762573784,688.877067076429
802889,37.9067286141053,c,60,4,40.1590026239506,665.207860138674
803084,47.3059644855819,c,60,4,19.4229399495493,628.714646940412
803222,31.3008645427588,c,60,4,23.5210530752292,623.458968118139
803238,45.4473511520903,c,60,4,24.8946034376103,623.944556139664
803309,37.5777703843723,c,60,4,31.7207670928164,657.020673068896
803601,30.9834557638399,c,60,4,-2.70803050109597,620.299792264727
